Fiscal Quarter Ending,Total Revenue,Gross Profit,Net Income,EBITDA,R&D Expenses,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Dividends Paid
2011-09-30,26157000000,12173000000,3838100000,5440100000,1546000000,110158000000,87781000000,3839000000,-805000000,-3669000000,893000000
2011-06-30,26666000000,12385000000,3661900000,5288900000,1569000000,113474000000,90263000000,4279000000,-584000000,-4903000000,905000000
2011-03-31,24607000000,10858000000,2860400000,4217400000,1587000000,112960000000,90185000000,3792000000,498000000,-2314000000,795000000
2010-12-31,29018000000,14227000000,5253400000,7922400000,1578000000,113452000000,90279000000,6795000000,-4082000000,-1860000000,808000000
2010-09-30,24271000000,11001000000,3586400000,5058400000,1464000000,107174000000,84815000000,4551000000,-1780000000,-3455000000,818000000
2010-06-30,23724000000,10809000000,3385000000,4949000000,1475000000,103420000000,82244000000,3766000000,-1946000000,-3746000000,833000000
2010-03-31,22857000000,9976000000,2601000000,3883000000,1509000000,105208000000,83059000000,4437000000,-699000000,-3368000000,718000000
2009-12-31,27230000000,13145000000,4813000000,6760000000,1460000000,109022000000,86267000000,6448000000,-2495000000,-1206000000,727000000
2009-09-30,23566000000,10627000000,3214000000,4762000000,1446000000,103675000000,85182000000,5198000000,-2337000000,-5168000000,726000000
2009-06-30,23250000000,10581000000,3103000000,4032000000,1434000000,103655000000,88182000000,4741000000,-1849000000,-3743000000,732000000
